youtube.com, 142.250.72.206
facebook.com, 57.144.104.1
amazon.com, 98.82.161.185
yahoo.com, 74.6.231.20
live.com, 204.79.197.212
wordpress.com, 192.0.78.9
yahoo.co.jp, 183.79.249.252
tudou.com, 106.11.43.246
apple.com, 17.253.144.10
wikipedia.org, 208.80.153.224
sohu.com, 61.135.164.50
msn.com, 204.79.197.219
windows.com, 20.236.44.162
baidu.com, 110.242.74.102
ebay.com, 23.67.33.5
hao123.com, 124.237.176.248
blogspot.com, 142.250.188.41
microsoft.com, 13.107.213.57
xunlei.com, 39.104.2.218
qq.com, 113.108.81.189
56.com, 219.136.249.83
taobao.com, 59.82.43.234
fc2.com, 199.48.210.151
bing.com, 150.171.28.10
pps.tv, 111.206.13.63
paypal.com, 151.101.195.1
sogou.com, 43.153.249.87
sina.com.cn, 36.51.254.91
tmall.com, 59.82.43.82
163.com, 59.111.160.244
ku6.com, 106.75.9.182
ask.com, 199.232.66.114
rakuten.co.jp, 133.237.182.225
soso.com, 43.153.249.87
adobe.com, 23.215.55.141
twitter.com, 151.101.66.146
about.com, 172.66.1.220
orkut.com.br, 208.109.60.213
mozilla.com, 35.190.14.201
youku.com, 106.11.43.158
ifeng.com, 82.156.59.186
sdjjdsaf.com, NOT_RESOLVED
goo.ne.jp, 52.197.38.248
bbc.co.uk, 151.101.192.81
andysayler.com, 159.89.253.85
yandex.ru, 77.88.44.55
myspace.com, 34.111.176.156
wmfo.org, 23.92.21.128
cnet.com, 199.232.198.154
go.com, 76.223.18.1
4399.com, 129.211.129.109
orkut.com, 216.239.38.21
mail.ru, 89.221.239.1
skype.com, 20.112.250.133
ameblo.jp, 199.232.210.133
flickr.com, 99.84.118.94
naver.com, 223.130.200.219
amazon.co.jp, 18.246.98.187
4shared.com, 204.155.146.95
linkedin.com, 150.171.22.12
dailymotion.com, 195.8.215.136
imdb.com, 98.82.158.179
aol.com, 76.223.84.192
