myspace.com, 34.111.176.156
amazon.com, 98.87.170.71
bbc.co.uk, 151.101.128.81
4399.com, 129.211.129.109
cnet.com, 199.232.194.154
mail.ru, 90.156.232.4
go.com, 76.223.18.1
goo.ne.jp, 52.197.38.248
youtube.com, 142.250.188.46
live.com, 204.79.197.212
ifeng.com, 82.156.59.186
facebook.com, 57.144.104.1
wordpress.com, 192.0.78.9
tudou.com, 106.11.43.246
skype.com, 20.70.246.20
yandex.ru, 77.88.55.88
orkut.com, 216.239.32.21
hao123.com, 110.242.69.86
wikipedia.org, 208.80.153.224
apple.com, 17.253.144.10
flickr.com, 99.84.118.40
sohu.com, 61.135.164.50
ameblo.jp, 199.232.214.133
yahoo.com, 98.137.11.163
yahoo.co.jp, 183.79.249.252
msn.com, 204.79.197.219
naver.com, 223.130.192.247
ebay.com, 23.67.33.44
amazon.co.jp, 18.246.99.104
pps.tv, 111.206.13.62
baidu.com, 111.63.65.247
blogspot.com, 142.250.72.201
microsoft.com, 13.107.246.38
linkedin.com, 150.171.22.12
4shared.com, 204.155.146.95
windows.com, 20.76.201.171
qq.com, 113.108.81.189
sina.com.cn, 36.51.254.91
dailymotion.com, 195.8.215.136
xunlei.com, 112.124.227.84
bing.com, 150.171.27.10
taobao.com, 59.82.44.240
aol.com, 13.248.158.7
ask.com, 199.232.66.114
adobe.com, 23.215.55.141
mozilla.com, 35.190.14.201
twitter.com, 151.101.66.146
163.com, 59.111.160.244
fc2.com, 199.48.210.152
andysayler.com, 159.89.253.85
soso.com, 43.153.236.147
imdb.com, 98.82.155.134
56.com, 219.136.249.83
youku.com, 106.11.43.246
paypal.com, 151.101.195.1
sogou.com, 43.153.236.147
wmfo.org, 23.92.21.128
ku6.com, 106.75.9.182
orkut.com.br, 208.109.60.213
rakuten.co.jp, 133.237.182.225
sdjjdsaf.com, NOT_RESOLVED
about.com, 172.66.1.220
tmall.com, 59.82.43.82
